baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	2292.17603937167	0.613375301339851	0.375514711589915	1.63342548882531	0.102379539905869	0.617227727581516
AT1G01020	2957.80341281312	-0.126328311901295	0.163994388106242	-0.77032094427191	0.441109535435365	0.885893056235584
AT1G03987	6.61534345020878	-0.728807398390394	0.933515715744052	-0.780712510886337	0.434971600650171	NA
AT1G01030	331.583041576025	-0.0298540276246109	0.194023066413758	-0.153868445522589	0.877713464594197	0.985397353355711
AT1G01040	9764.77202188894	-0.255620310824159	0.192948559344753	-1.32481067333302	0.185233953851971	0.731451221207633
AT1G01046	127.614315365225	-0.402978657895235	0.502322968712319	-0.802230204460392	0.422419807462107	0.880258578466488
AT1G01050	8601.8670651361	0.0223945983121618	0.104300472346582	0.214712338384685	0.829991602289104	0.978928144662572
AT1G01060	562.357743413208	-0.203559335746959	0.322890388475149	-0.630428600579499	0.528414203328595	0.917369974217885
AT1G01070	1123.48912932362	0.340062804747148	0.188683620142046	1.80229107588216	0.0714996218508213	0.53736496127392
AT1G01080	5258.23498872401	0.181303760822385	0.265639583669304	0.682517862428556	0.494911551851912	0.905665965486207
AT1G01090	16202.1048054568	-0.132083626359928	0.139252628705052	-0.948518010670316	0.342865808300048	0.846462227510694
AT1G01100	22752.8421353101	-0.233423152970405	0.247305160604742	-0.943866890604341	0.345237673242221	0.847361259097874
AT1G01110	648.762457204187	-0.270574080717327	0.249996727545526	-1.08231049011653	0.279114586301606	0.809609098023286
AT1G01120	7640.3137803085	0.641787592128234	0.413411175171568	1.5524195538785	0.120561867693415	0.64821608953718
AT1G01130	1008.60905416096	0.411958803565488	0.234943421393889	1.75343834324617	0.0795267942228216	0.55934523914111
AT1G01140	9957.17267459015	0.705960606137032	0.26920865950213	2.62235474684441	0.008732448270856	0.224246134189018
AT1G01150	55.9315760650869	-0.56878831240664	0.515159902281802	-1.10410051303935	0.269549538758914	0.804428112016425
